epiweek,ndvi_mean,ndvi_std,ndbi_mean,ndbi_std,bu_mean,bu_std,ndwi_mean,ndwi_std,built_frac,ndvi_contrast,ndvi_homogeneity,ndvi_entropy,ndbi_contrast,ndbi_homogeneity,ndbi_entropy,DoU_cluster,DoU_label
201615,-0.01810592668279274,0.006329341955229736,-0.39477697993825084,0.035840300643139776,-0.4092466266088294,0.03820563102281941,0.39477697993825084,0.035840300643139776,0.0,304.1577265621803,0.569376005259333,5.844906076044869,94.52045968435044,0.43365047962554176,9.324123001503862,1.265625,rural
201616,0.19927392020640763,0.08012261881422579,-0.07176231488633762,0.06791414792135114,0.13201475689798106,0.08111770591234738,0.07176231488633762,0.06791414792135114,0.18376717995600658,152.14832417594064,0.17173753495683586,11.501344177888564,160.68382441200114,0.17434067058192212,11.463730360604835,1.25,semi
201617,0.05831943903573644,0.02253623430229374,-0.10421072893079791,0.03930343309176759,-0.04615732644532013,0.054254998013076094,0.10421072893079791,0.03930343309176759,0.015896258675592367,124.14537872958813,0.18752349617938824,11.382313338802888,99.68260337510927,0.2080121189590494,11.189394538886198,2.0,semi
201618,0.15462247415786007,0.10329666234085609,-0.09373534831792354,0.08323487092172432,0.06466951852958219,0.09374551319386301,0.09373534831792354,0.08323487092172432,0.18935915513229779,176.58476240539812,0.1971542230748548,11.442201164233849,239.1752739921876,0.14705355752957514,11.965899567174485,0.8125,urban
201619,0.07752334265730706,0.025550029390339752,-0.18113894070059192,0.034923801323208326,-0.10413121282518054,0.04156851048561089,0.18113894070059192,0.034923801323208326,0.008070154671717155,194.18853699829435,0.22618374491554377,10.861062513558961,93.90597563136791,0.2528677828490017,10.765147350170176,1.921875,semi
201620,0.006818428021175986,0.009303745705685637,-0.48060819661999554,0.050929011793370005,-0.47361205882966734,0.05361034394197287,0.48060819661999554,0.050929011793370005,6.31313131313125e-06,326.3087266541961,0.3176043229582086,8.545220405016584,69.55156728056326,0.33327238390418035,10.777517169762328,1.484375,rural
201621,0.09057152492704826,0.03450720187903924,-0.12328389828908205,0.04559822592310239,-0.0328960089785019,0.06106784785505643,0.12328389828908205,0.04559822592310239,0.014899128867289207,93.73805234926236,0.21627338092448609,10.957920356013627,80.52072288316708,0.2433783780383194,10.971428476117044,2.0,semi
201622,0.3297527645565994,0.13739699914314552,-0.10673903137254483,0.11450060419158652,0.24041692834520942,0.09899778253673003,0.10673903137254483,0.11450060419158652,0.2720069379923448,301.326298594694,0.14061917339519545,11.770278699005457,344.85695980660466,0.12211862647103826,12.251020449467873,0.0625,urban
201623,0.3297527645565994,0.13739699914314552,-0.10673903137254483,0.11450060419158652,0.24041692834520942,0.09899778253673003,0.10673903137254483,0.11450060419158652,0.2720069379923448,301.326298594694,0.14061917339519545,11.770278699005457,344.85695980660466,0.12211862647103826,12.251020449467873,0.0625,urban
201624,0.017440961057758126,0.00914632769393659,-0.19220639650744895,0.024767706183198263,-0.17527458439344776,0.02801874357038619,0.19220639650744895,0.024767706183198263,2.358490566037656e-05,332.33464706375764,0.2863807653498281,9.797907699411482,112.45773977792864,0.24115842325665054,11.012345094257562,2.0,semi
