grid_id,date,ndvi_mean,ndvi_std,ndbi_mean,ndbi_std,bu_mean,bu_std,ndwi_mean,ndwi_std,built_frac,ndvi_contrast,ndvi_homogeneity,ndvi_entropy,ndbi_contrast,ndbi_homogeneity,ndbi_entropy,DoU_cluster,DoU_label
10,2018-08-19,0.5176329685651943,0.1417277919175487,-0.1466141716048754,0.1099669754932172,0.4103023763672242,0.0787398980151872,0.1466141716048754,0.1099669754932172,0.1313131313131313,225.43954698500153,0.2026335823700317,10.89008962097808,304.4326089174574,0.1376877061018579,12.072635666159073,0,urban
11,2018-08-19,0.4439293757210804,0.1598600411048418,-0.1119371273786026,0.1607979163978219,0.3596721504402804,0.0683558382311342,0.1119371273786026,0.1607979163978219,0.256060606060606,286.31547801244767,0.1372829818910358,11.863883563668145,431.63564942352826,0.0945163887833297,12.726687837529038,0,urban
12,2018-08-19,0.5355650908922271,0.0641220452138425,-0.2410839777142972,0.0575622280026561,0.3396784596836163,0.0495132392189209,0.2410839777142972,0.0575622280026561,0.0114141414141414,114.46372819100092,0.1543660365449594,10.251157240305645,202.12886440159167,0.1174963564130028,11.252618626802708,2,semi
13,2018-08-19,0.334094254818454,0.1729829743316385,0.0165823841273172,0.1900338374946313,0.3598015328563924,0.0628444854669778,-0.0165823841273172,0.1900338374946313,0.5495959595959596,270.3026221814101,0.131045735723856,12.002495229137269,490.527701254974,0.0978579103497876,12.803805820212103,0,urban
14,2018-08-19,0.5183438865694684,0.1036967962707263,-0.1704939788291262,0.1109534896955385,0.3860181937856353,0.0544072196437998,0.1704939788291262,0.1109534896955385,0.09,210.7705336190185,0.1501691278925598,11.176230106758656,304.2370166309559,0.1144192748081878,12.025675584855808,0,urban
15,2018-08-19,0.58924852783093,0.0365184411511575,-0.2396964897705101,0.0463431529209792,0.4069459856166988,0.0468978355362806,0.2396964897705101,0.0463431529209792,0.0,223.0688012197446,0.1202010561645459,10.79274316600483,599.8349533066514,0.0816193531850497,12.216718105387873,0,urban
16,2018-08-19,0.4175745188335895,0.1998739093817229,-0.1025758913029718,0.1339942897484267,0.3424641452039516,0.1131261713387328,0.1025758913029718,0.1339942897484267,0.2634343434343434,466.6634016937047,0.1248977743151334,12.15605208480396,401.9680644832161,0.1079200414149976,12.513271597524083,0,urban
17,2018-08-19,0.3966550320132213,0.2071682364337551,-0.0869584192400372,0.1613283565230853,0.3354393178114938,0.1090243361455046,0.0869584192400372,0.1613283565230853,0.2945454545454545,486.91347821650845,0.1060228400712027,12.50081558433538,442.6592184470972,0.088161977527027,12.824315844308057,0,urban
18,2018-08-19,0.3776762670007992,0.2036058763572079,-0.0653964238639823,0.1731892501392667,0.3341064370981801,0.1096016452096674,0.0653964238639823,0.1731892501392667,0.3185858585858586,339.24823997551266,0.1162242010967586,12.406906023102184,486.23324150596886,0.0945225477925895,12.896206135322595,0,urban
19,2018-08-19,0.2189270900259092,0.167426851812548,0.0734630236316655,0.1491380152196026,0.2945473397540156,0.0921080258248856,-0.0734630236316655,0.1491380152196026,0.7282828282828283,355.7803285379043,0.0900506317460308,12.44720640208165,460.9642893582288,0.0777576953533166,12.774525674340232,0,urban
20,2018-08-19,0.251463175071241,0.1953346362769034,0.0540235933702391,0.1810931541147219,0.3128911584094126,0.0780841935958156,-0.0540235933702391,0.1810931541147219,0.6530303030303031,579.1374349556169,0.0837611792752889,12.729700444467616,472.67084991327425,0.0851263358476245,12.822938551385718,0,urban
